title,description,ratings,sentiment,source,date_posted
Dominar 400 true love exposed,1.I am proud buyer of dominar 400 and i feel the luxury of it when other bikers or strangers ask something good about the bike and speak some good about it.2.Best mileage at best pricing parallel best powered cruiser ever seen. All performance on both off road and smooth roads is awesome. 3.Best part comes is that it has ultimate looks and i have added knuckle guards which increases its beauty still more and the big sexy tyres which matches perfectly to the size of the bike.4.Actually we won't feel the servicing costs as it is serviced for 4000kms and maintenance is the it gives a mileage of 25kmpl at city limits and 30kmpl at outskirts i.E. At highways.5 the pros of this bike is that it has a styled look and best power i.E. 35bhp at a cheaper rate i.E. Inr 1.94 lakh. The con is that bike is heavier compared to other bikes at this segments .,5,pos,bikewale,25-04-2018
Long rides experience,"The best bike for long rides, doesn't gives any problems, comfortable for riding, best in price worth it for buying, I loved this bike, you too will enjoy. Though it's top speed is 145-150 it really awesome Its weight is also adjusted while riding just loved it, It's braking is also reliable and trustworthy Loved it.",5,pos,bikewale,25-04-2018
Bajaj dominar 400 ,"The bike is mainly a cruiser which a powerful 373cc engine, it comes with a six gear wet and slipper clutch and the power on this bike is so damn good that it easily cruises on the roads easy to filter through traffic it has abs and it fantastic and the front shocks are inverted and rear is a mono shock in one word the bike is awesome it is perfect for city and off-roading also.",5,pos,bikewale,25-04-2018
Best ever from bajaj,"It was pleasant experience from mayur bajaj, dehradun. Bike got delivered on the same day! first it seemed like quite heavy bike, i am 5.85 so height was not a problem at all. Throttle response in first gear was low but when i shifted to higher gears it was superb and calm. Headlights are just flawless. Abs works like charm and breaks are really good but changed the brake shoes because stock break shoe's response was not quite well. Looks macho and has the big bike feeling in it.Servicing was nice experience as bajaj has set up separate bay for dominar and not that much of problem at all. Costs around 1500 for servicing.Build quality is way higher than the bajaj standard. But cant compare it with big names like kawasaki, yamaha, honda etc.Pros:Big bike Mileage Looks Headlights Breaks Suspensions Liquid cooling.Cons:Brake shoes Plastic tank Otherwise i am in love with this bike!",5,pos,bikewale,25-04-2018
Dominar,1. The bike is best for this price.2. Ultimate experience for a long ride.3. My bike colour is red and black. The look is awesome and superb colour code.4. Maintaining this vehicle is too hard. If we love the bike then definitely we will have to maintain superbly.5. Pros : good looking and stylish ride.    cons : in city the mileage will be only 23 kmpl.,4,pos,bikewale,25-04-2018
Only for my bike deserve.. ,1.No problem at all buying... If you want emi ya hard cash all arranged for me... 2. Supper speed and full enjoy.. 3.Looks are super duper and so much fun with the friends.. Smooth performance.. 4.Servicing and maintenance costs is zero....... 5. All features aregreat... happy.,5,pos,bikewale,25-04-2018
Worthy to be 400,"The dominar handles with a confidence and eagerness that belies its power cruiser tag and heft kerb weight. The motorcycle is willing to change direction without having to fight the handlebars. Stability is good when leaned over even if the bike encounters some unexpected bumps. Bajaj also took a good decision of positioning the footpegs slightly rear-set instead of the traditional forward stance on a cruiser. This makes it easier to stand on the pegs on broken roads and also liberates a good amount of cornering clearance. The inclusion of a slipper clutch is a nice bonus that smooths out aggressive downshifts.we can't wait to experience this bike and we are sure you are waiting for the same. However, do remember to read our first drive review, which you'll find here soon, of the bike before you visit the dealership to get a better idea about the dominar 400.",5,pos,bikewale,25-04-2018
Precious things are always neglected,No one knows what's India holds for a precious diamond are found just v have an eye to recognise....Bajaj always discovers a legends. Bajaj dominar 400 a born legendary two wheeler in all aspects.No words to prescribe to others that about this bike.1. Lowest price level.2. Comfortable ride on local streets as well as high ways.3. Dynamic looks and unbeatable performance.4. Lowest servicing and maintenance.5. Just go for it.,5,pos,bikewale,25-04-2018
Queen,"Performance is great even though i tried to ride rough . Abs is very effective, balance also good. Sometimes it is vibrating but i had pulsar so i used to it. I miss engine sound and gear indicator in it. You can not expect 60kmpl with 373cc engine. So 30kmpl for me is ok. Till date i didn't find any major service related issue .",5,pos,bikewale,25-04-2018
Tiger on road,"The bajaj dominar was bought at an inr of rs. 1,89,850 (bangalore). *a smart looking power cruiser , that gives a big bike feel!*good ride quality and handling balance along with 157mm of ground clearance, which helps pass big-ish speed bumps and rough (or no) roads .*feature loaded. (digital speedometer, sub-console atop the fuel tank, full led headlamps, abs etc.)*vibrations from the tank cover region at 3.5k-4.5k rpms. The tank pad looks cheap. Needs to go.",4,pos,bikewale,25-04-2018
A powerful companion which never let you down no matter what!,"Dominar 400 is one great motorbike considering the price to product ratio. The bike has its own set of pros and cons like all other bikes but i would like to elaborate them for users to decide for themselves what they choose to drive.Pro:>price tag: the price of the bike is very aggressive considering the fact that it comes with all the latest electronics and safety features. >handling: the handlebar is constructed in such a manner that you never want to pause your journeys during long trips. Very comfortable and easy to handle manoeuvres.>power: this is the segment where the bike excels. That huge torque at low rpm(torque starts to kicks in at 3.5k-4k rpm) makes you overtake on highways without a struggle. Hitting 100kmph mark has never been this easy and can cruse at 100-120 at just 4k rpm at 6th gear.>mileage: i know many are considered about this section. We all know that bajaj does care about mileage more as they have studied about Indians and so that applies to this bike even. On a trip covering 250kms, i was given a very decent mileage of 32kmpl considering the fact that i was cruising at 100kmph>suspension: this bike does a very good justice for the tagline #go hyper riding as the suspension is very good enough to ride even on bad roads. During my trip, i had to cover some very bad roads which were taken very easily by dominar. No wonder, in this department this bike excels.>braking: this is the department where i felt the bike lacks a bit. The bite is not strong enough to stop this mighty bike at that mark. I don't know how abs on this will work as mine is a non abs variant. But on riding ktm rc200 and dominar side by side i felt this bike lacks that bite to stop the bike on mark.>slipper clutch: yeah!! a feature which is quite new to be considered. This bike comes equipped with the slipper clutch and its only good and helpful if one knows how to make complete use of it. It took me a while to master this feature. But only useful if one is riding at good speeds. But kudos bajaj to introduce this tech for a daily commuter bike.>headlight and console: headlight is one hell of a thing in dominar. It looks like a premium bike which is heading your way. The console is somewhat less informative as i have felt.  Cons:>vibrations: yes, there are vibrations which irritates you a lot. I would seriously tell bajaj to stop making fun of re and work on this department asap. They exist as soon you cross 5k rpm and they are so bad that one cannot see who is approaching from behind from rare view mirrors(same like re).>brakes: as i have mentioned already, they lack the bite to stop the bike on that mark.But considering the power, safety, all latest technologies and other rivals in the market i would definitely say that dominar is a steal for the price and if someone who is planning to go buy a bike at this price point, i would say them to test drive dominar once and then reconsider their purchase. The bike is very comfortable and good for daily commute and long drives/leisure drives.",4,pos,bikewale,25-04-2018
Most affordable beast in Indian market ,<p>This bike is actually a beast you must know how to tame it once you hop on to the saddle and switch on the ignition you feel the surge of power within the bike .This bike can be used by beginners also . And for the experienced ones this is the bike for you . But if you are thinking of mileage or daily commute then this bike may not be an option to you . But if you want to explore places or love riding then this is the bike and go for it!!</p>,4,pos,bikewale,25-04-2018
"Good step from bajaj, dominar is beast","<p>I get this bike easily in my local dealership, i booked this bike on 5th october 2017 and got the bike delivery within two days.</p><p>Bike is good for daily usage and perfect for long distance travel.</p><p>Look of dominar is unbeatable and mileage is also upto mark.</p><p>I get my 1st service in 1k kms and it requires less maintenance.</p><p>Pros:</p><p>1. Good for long distance ride</p><p>2. Look is modern and stylish</p><p>3. Low budget 400cc bike</p><p>4. Perfect bike for body builders</p><p>5. Low maintenance</p><p>Cons:</p><p>1. Mileage is very low 25kmpl</p><p>2. Seat is not much comfortable</p>",4,pos,bikewale,25-04-2018
Anti-spin riding experience,"<p>I tried this for a long trip. I didn't get a better experience with dominar from my any trip.I tried so much bikes , apart from all those , only i get better comfort , speed , brake , support ,etc. Only from this.If just tried it once , you will not going use others. If you want to trip this is the only partner, my suggestion is dominar.</p>",4,pos,bikewale,25-04-2018
My girl friend ,"<p>Very smooth riding and moving on road like cream on breads. I love this bike more than my wife. When people see me on it its amazing experience, my wife says that you love it more than me. She hates but she loves me when we ride. Bla bla bla i don't have any problem with this bike. It's looks very pretty. I love its sexy look</p>",5,pos,bikewale,25-04-2018
Might dominar 400! ,"<p>A fantastic power cruiser & a value for money package. Bajaj d400 is single cylinder 373 cc liquid cool 4 stroke engine that pumps 37bhp and 35nm of torque and top speed of 163 kmhr.</p><p>It is a good bike and doesn't even heat up a wide dealership network of bajaj makes the owner to ride the bike hassle free in any part of country(India). The service cost is cheap but service experience is worst. Ride quality is good but not the best due to vibrations at handlebar after 4000 rpm. The brakes are excellent as dual channel abs are present, also slipper clutch is awesome giving maximum engine breaking & the last thing is the headlights are awesome as they are full led. I just wish if the bike had gear indicator and could have a more power output. Also the tank is 13 litres( 1.5 litres reserved).</p>",5,pos,bikewale,25-04-2018
Bajaj's best gamble yet! d400 - the beast,"<p>I bought this after detailed review from powerdrift. But i waited long for the arrival of matte black colour and I've never been more happy. This bike in its price bracket is a beast!  i use it for daily commute and occasional long rides and it never disappoints me. I can ride 150-250km in a single full tank with no sign of fatigue. Sitting posture is upright and there's absolutely no weight to be felt at wrist and hands. Bike usually in city condition will give out maximum of 23-25kmpl and on highways it could reach 27-30kmpl but mileage is not an issue after-all. Looks are absolutely head turner and not one person you meet will ever stop to ask about price and availability of this. Servicing costs around 1100 if you get bajaj's 10,000 engine oil. I prefer motul 10w50 so it jumps around 2500-3000/ service. Only cons i can feel till now is vibration and jarring sound you notice at smaller revs and mirror vibrations all the way up after 4000 rpm. Rest i can say that this bike is an absolute killer both for money and tech it carries.</p>",5,pos,bikewale,25-04-2018
Nice bike. Performance is great,<p>1.Buying experience is great. All papers and bill are provide in on the spot. The show room staff is very good.</p><p>2. I'm riding my bajaj dominar 400 it's like a very smooth and comfortable ride. It's performance and torque is great.</p><p>3.Look is very very good. It's look different from other bike. Looking so beautiful and attractive look. And the performance is great. Mileage and torque and speed are great.</p><p>4.The servicing is good and customer support is very good on the service centre. Maintenance cost is very low and the maintenance is very easy.</p><p>5.The bike is great machine. I recommend for the touring bike.Must buy</p>,5,pos,bikewale,25-04-2018
The underdog,"<p>Bikes were not a passion for me, for me they were only a way of transportation until i got introduced to the dominar 400. I used to ride a unicorn 150 and this sure was a huge step up.</p><p>Performance</p><p>The heart of bike is where the adrenalin begins as it is tuned like a fighter jet. The 373.3 cc engine derived from duke 390 is tuned for about 35 b.H.P. Of power and a blistering 35 n.M. Of torque. The engine could be a little bit more refined and the power delivery a bit more linear. </p><p>Fuel consumption</p><p>The mileage that i got in city was around 22 and it had reached all the way up to 35 on a highway.</p><p>Comfort</p><p>The bike feels planted at the corners and at high speeds but the suspension is a bit stiff for Indian roads and you do feel each and every bump. The seat is soft and big enough but the pillion seat does feel a bit small and is suitable only for shorter rides. The vibrations on the foot-pegs are well controlled but the tank vibrates a bit.</p><p>Buying experience</p><p>The buying experience was good overall but the delivery could have been a bit better for such a premium bike.</p><p>Looks </p><p>This bike is an absolute looker for its price and it looks absolutely breathtaking from any angle you could possibly imagined. Though the tail lights could have been a bit different. The led headlights are an absolute delight to use.</p><p>Maintenance</p><p>The first service was at 700 k.M. And then after every 5000 k.M. . The chain should be lubed at every 500 k.M. And the service costs are low. Being a bajaj the cost of spares is also very less.</p><p>Problems </p><p>1. There is a common issue of the vibration of tank which can be easily solved by the service persons.</p><p>2. The rear break seems to be less effective and the abs kicks in very early.</p><p>3. The bike feels sluggish at slow speeds.</p><p>Overall the bike is a value for money offer and is great for upgrading from a smaller capacity bike.</p>",4,pos,bikewale,25-04-2018
Hathi mat paalo actually fits on whom,"<p>Buying experience: on road around 158k in lucknow and aiming at the re classic 350 which is the leader in the segment in terms of sales per year.Re may not be as agile as the dominar but it has a charismatic perception in the masses since decades, since generations.</p><p>But the dominar can not be overlooked for sure because of its macho looks, and a very powerful engine producing 35 newton-meter of torque @ 6500rpm. Amazing isnt it? giving the 6th gear made it very special for the power lovers and an easy transmission of gears makes it soothing for the sports bike lovers. And actually it serves all the purposes like daily commute or cruise or adventure or whatever.</p><p>Fuel capacity is 13l and gives u an average of around 30 on freeways while in city it all depends on how u handle the beast. Its a heavy bike which makes you stable even at the higher speed which will reach at maximum of 140 kmph+ and  no vibrations till 110 kmph as per my experience. Double disc brakes will ease you life even in the hell. Liquid cooling will provide an edge over the airc ooled engines in terms of performance and the special 3 sparked, fuel injected features makes it more reliable performer of the segment where actually no other exists except the one and the only royal enfield...Lets ignore the pros and cons for sometime.  </p>",4,pos,bikewale,25-04-2018
Mighty machine ,"<p>Superb bike under this price tag because you won't get any other under rs. 2 lakhs , go for it without any second thought as it has both, the muscular look & the power like a beast with great comport for long trips. I was a re fan from childhood & wanted to go for royal enfield classic 350 or thunderbird but after riding this bike after one of my friend got it soon after the launch i became a fan of this best beauty by bajaj till date.</p>",4,pos,bikewale,25-04-2018
Dominar non abs,"<p>I bought the beast in october matte black non abs, bike is great in terms of pick up and smooth engine and bike' s  heavy weight gives stability in high speed and i got the millage around 27 totally satisfied about the bike, brakes are good in spite of non abs only negative is gearbox because gear shifting is hard in up shifting if you looking for a bike around 1.5 lakes go for it. </p>",5,pos,bikewale,25-04-2018
Good buy and great performance,"<p>The buying experience is not that great the showroom and sales rep are not responsive at one point i had dropped the plan of buying. The bike has great seating posture the riding comfort is great. For city and even for the long ride, i have done 11k in one ride, i never had any pain in butt nor in back. Bike is very responsive and breaking is great, the control in the turning is also great, the vibration at 110kmph is very less, you can ride the bike comfortably at 120-130kmph constantly. The looks are good. Bajaj service is not that great ok kind of thing. The maintenance cost is less compared to other bikes in this range. I have done already 5 services of the bike. My total ride experience on this bike is around 20k km. This might be as great as yamaha r3 or ktm 390 but still a good buy at the cost bajaj is offering and considering the maintenance cost and interval.</p>",5,pos,bikewale,25-04-2018
2018 best bike ,"<p>Best bike of the year the dominar 400’s engine has been extensively revised and you can see that in the numbers. The single-cylinder motor delivers 35ps at 8,000rpm and 35nm at 6,500rpm of peak torque the standout feature of the dominar 400 is the all-led headlight the led unit provides brilliant luminance while the light spread is also impressive </p>",5,pos,bikewale,25-04-2018
Go hyper riding,"<p>1. Buying experience.. Well the cost is the killer part here. Bajaj has done  really a good job at pricing of the bike. It was a good experience at the showroom.</p><p>2. Riding experience.. Amazing.. It's totally different world on the bike. Hyper riding ;)</p><p>3. Looks.. Well it's okay for a cruiser and it's quiet comfortable for long rides. And coming to the performance, it's fantastic and the liner power delivery is great and smooth.</p><p>4. Servicing and maintenance isn't that bad</p><p>5. Pros- awesome led lights, looks good, beasty sound, pickup, comfort for both rider and pillion, great handling.</p><p>Cons- not much except for heavy weight. It doesn't matter much except in traffics.</p><p>Overall a decent bike for the price! :)</p>",5,pos,bikewale,25-04-2018
Superb......,"<p>This is a very nice bike its smooth and comfortable for the riders. This is a very powerful bike i liked its style,  colour everything. I have been using this bike since  4 months   i loved it. It provides you 373cc engine 35 bhp . At this price its wonderful thanks bajaj . So friends go for it  because only babies sleep at night.</p>",5,pos,bikewale,25-04-2018
Dominar 400,<p>This is absolutely perfect for youngsters.The performance was very good and packed with massive power.One of the main important thing in it was the breaking quality. It is very perfect and give good security and riding experience.The riding position is good it gives perfect handling in long journeys.The led headlamp give more brighter and sharp light</p>,5,pos,bikewale,25-04-2018
Siperb bike dominor400,<p>It's been an awesome bike . So fluent related to mileage pickup everything.  Superb bike. I regularly go to college and sometimes hang out with friends for long drive . About the looks its been enthralling one and it has magnificent sound . Silencer is awesome;  gear everything is superb . Thank you</p>,5,pos,bikewale,25-04-2018
Truth about bajaj dominar ,"<p>Truth about dominar my cousin own the dominar 400 just recently he has purchased it the bike is awesome with cool looks everybody bow there head down towards dominar to take a look .Its like a silent killer because you will never complaint about power,comfort and mileage. Within 10/15 seconds you can easily reach 100kmph and it can take any drag race at any time no matter which bike is opponent and coming towards the comfort it awesome you will never get back pain at any cost and talk about the mileage it's giving around 30/35kmpl depends upon your driving.Main importantly you have the safety feature like abs which is much needed for this bike.If bike lovers want power and performance then they can go for the bike because like bajaj said ""size is nothing without performance"" </p>",5,pos,bikewale,25-04-2018
Why i bought this over re classic 350,"<p>First of all, let me state that i have used a royal enfield classic 350 for 4+ years and this buying this bike has been a worthwhile upgrade. </p><p>Buying experience: was smooth and took delivery 1 day after i made the complete payment. </p><p>Riding experience: this bike is very humble in terms of its single cylinder engine note. It gets loud and grunty as you raise the rpm north of 4k. One cool feature i'd like to point out is the bike will crawl at a speed of 10 km/h in 1st gear (after gradually releasing the clutch) and it becomes really useful traffic as you don't have to operate both clutch and brake levers on congested roads. (additionally the weight of the bike is not felt when moving and helps to maneuver when aggressive car drivers try to reduce your clearance space in traffic) this crawling feature also allows one to climb bumpy ghat roads slowly and with complete control. On the highway, the bike is absolutely smooth and the buttery feel got better after consecutive servicing (oil changes). I will mention however, i am no speed demon on the highway. I prefer cruising below 100kmph and did realise that a windshield becomes very very important if one were to sustain triple digit speeds on good roads. Personally felt that windshields ruin the visual appeal of the bike by disrupting its 'lion' stance from head to tail. Speaking of looks while white seems to be the most common colour and you could never go wrong, i just wish bajaj didn't drop the ball by 4 colours in total out of which 2 don't offer much road presence when the bike is moving. Speaking of road presence, this bike got many head turns in traffic in day time due to its wide rear tire, heavy large bike bike feel and also at night due to its absolutely spectacular headlamps. I am personally not a big fan of the 'shape' of the tail lamps however, and felt a single unit led type would make it stand out more among the pulsars. Up close however, you can quickly realise that this is not pulsar tail lamp because the light projects (via led) in a very sophisticated manner. Its quite intriguing. In the braking department, the abs system works as advertised however i do feel that the rear brake could use a bit more bite. Servicing, i take the bike to a ktm/bajaj service centre and they always do a good job. Please check the ratings before visiting your nearest service centre. Spare a half of your weekend day for service before hand and go the extra distance to find a decent service centre if you truly love your machine. Maintenance wise, i always wipe down my bike every night before using the bike cover to keep it from getting dusty. I wash it twice a week, clean the tire side walls and black parts with polish and lube the chain every 500km. I know some may say that its overkill but i like my bike to be flawlessly clean and glimmering in its white paint. </p><p>Pros: if your thinking of replacing your re, this has got to be one of your main contenders because it has everything. Its fast. Its all led. Its all digital. Its very powerful. Its feature packed (slipper clutch, abs), its comfortable. It turns heads. It stands out. Its a big bike. It looks like a lion. </p><p>Cons: the bike does vibrate and something you hear vibration-like noises coming from somewhere on the upper body of the bike. There are two ways you can go about this. One option is to panic, go to any local mechanic to completely disassembly the fuel tank and have them add rubber padding everywhere to dampen the noise. Or be like me and accept that it does vibrate and be mature and choose to not let it annoy you. This sound can vary from bike to bike and mine is not that bad. I don't mind it and i have grown to look beyond it. Real attention should be given to things that affect performance or looks and this vibration craziness is not one on that list. </p><p>Overall, there is not one day, i don't look at this bike from any angle and regret switching over from re. Its very appealing bike and its put in a affordable and feature adequate package. </p>",5,pos,bikewale,25-04-2018
Dominating 400,"<p>I get my bike from showroom just after 2 day and their is no complications between paperwork, no complications between servicing.</p><p>Bike is super smooth in running even where you are in market or tour and exhaust sound is superb,i really love this bike.</p><p>Servicing cost is very low as compared to other 400cc bikes as available in market.</p><p>So at the last i say...If dominar is your first bike then grab it..</p>",4,pos,bikewale,25-04-2018
Great,<p>This is  value for money </p><p>Great experience 373cc </p><p>Nice body work </p><p>As i though about bike engine is not punchy  </p><p>But still powerful. </p><p>373cc in just 1.5 great</p><p>Ii ride up to 160 kmp</p><p>It not punchy like rc 390</p><p>But hay in this price </p><p>It is fastest Indian </p><p>In bike colour</p><p>I suggest white </p><p>In white it's looking gorgeous</p>,5,pos,bikewale,25-04-2018
Review,"<p>The design and styling is largely similar to the cs400 concept with some key additions made to the cruiser. It has a sculpted body and an aggressive stance that gives it a muscular look. Equipped with the led headlamp in front, it is the first model from bajaj to get that. The muscular fuel tank, broad handlebars and well-designed engine cowl completes the brawny look. One of the other firsts on the bike includes the all-digital lcd instrument cluster that provides all the necessary information required by the rider. </p>",4,pos,bikewale,25-04-2018
All explanation about bajaj dominar 400cc,"<p>I love this bike when it come in market because it is reasonable price and  bajaj gives 400cc so much fast and with abs braking system and this bike also looks very beautiful then others new look and design and the bajaj gives me three services free which is very cool and the bike maintenance is very easy condition of bike is so much good like new, recently came from showroom </p>",5,pos,bikewale,25-04-2018
Dominar  the touring beast,"<p>I am a long distance riding enthusiast and been riding classic 350 for over 3 years. While royal enfields are great bikes for touring, I've always been disappointed about the fact that so much technology was missing in the ride. When ever i was riding my classic i would wish it had more power, more agility, more stuck to the road, that it had great breaking etc. So, I've already had a picture and feel of how my imaginary bike would be and then i rode the dominar once which my friend had bought, this ride was a little over 40 kms and i fell in love with it. I bought the bike myself while retaining the classic as well (since it's my childhood dream to own a royal enfield). I've completed a 3000 kms expedition recently and man this bike can take you to any place like a cake walk. There is a lot of juice left in dominar that i'm waiting to experience and pretty excited about the next ride on this bike (never get bored).</p><p>I hope bajaj continues to launch bigger versions of the dominar. I will not hesitate to buy them all :)</p>",5,pos,bikewale,25-04-2018
The power cruiser beast!!!!!,<p>Buying experience: awesome..I love this bike best power cruiser. </p><p>Riding experience: no back pain very comfortable.</p><p>Awesome performance.  I just reach 100 kmp without worries. You can love this bike in long drive.. No more worries no tired .</p><p>Maintenance also good. Long period service time. </p><p>Cons : heavy weight and noise. But no noise while riding.. </p><p>Overall its nice and good.. Worth for the money.</p>,5,pos,bikewale,25-04-2018
Best bike in bajaj,"<p>First i am very happy to ride this bike it's my dream to drive bike like this. I have gone through many reviews and have done research on this bike. I prefer to buy abs bike because it is very safe for the riders. Price also differ in bike with and without abs. Engine is smooth, as driving is also very smooth. Look is very cool as i am riding a lion , i feel like that. And this bike also designed by taking the structure of a lion. Finally this is the good option for riders who wants to go for a tours and riding long distances. Thanks for giving this opportunity. </p>",4,pos,bikewale,25-04-2018
My dream bike,<p>This bike is very stylish and powerful bike. All bikes are scrap in front of it.Best bike in 400cc with best features best price.Good look.Easy service .Low maintenance.Good mileage.Great riding experience in city as well as outskirts.Night riding also safe.Digital speedometer with many unique features.Low fuel indicator trip meter.Braking is awesome at high speeds .Pillion rider also comfortable</p>,5,pos,bikewale,25-04-2018
Review,"<p>Buying experience & look,performance</p><p>It was good bike </p><p>I wanna buy this bike .Its my favourite cruiser bike with sport dts i engine technology </p><p>It is comfortable to ride & easy to control</p><p>Its a fantastic bike from bajaj</p><p>I wishes best who's buy this bike and it is right choice ever </p><p>Be hard and be great rider </p>",5,pos,bikewale,25-04-2018
Review,<p>An awesome time since owned dominar...</p><p>Feeling heavenly loved. Never thought that it can be such a nice. Its really dreams come true. Blindly trust on bike as superb performance of abs. Handling of bike and grip on road is so hard and strong that one can rely on it. Its really a wonderful bike. </p>,5,pos,bikewale,25-04-2018
About some power,"<p>First of all when i went to showroom for purchasing it, i was little bit confused. But after purchasing it i felt that i had done good. It's look is gorgeous and it is amazing too. And the main thing is that it is comfortable and has very good mileage. And as every vehicle it also need servicing but that is common too. I just want to say that to all the users that if you are in any confusion regarding it..... Just forget it.  </p>",5,pos,bikewale,25-04-2018
Really awesome!!!! worth every penny you pay for it,"<p>I bought the bike from popular bajaj. Starting with delivery, the service was crisp and clear, not what you expect from a typical bajaj product being serviced. They say dominar is their flagship, you feel how it is. Indeed! </p><p>I really loved the product, which is why i got this. Really worth every penny than what you pay for the mojo or the enfields. The ad clearly proves that, but should have been a bit more respectful for an enfield, for they are not something to be let down. Riding comfort is supreme, and so is the throttle response. One especial feature is the headlight. You can even shut down frantic cars with the mini-sun upfront the dominar. Service costs is far less from what you expect from a premium bike. In all it is a great bike, and long term reliability is really a question, particularly when it comes to bajaj. Else i would have gone for a 5/5 stars. </p>",4,pos,bikewale,25-04-2018
It's your dominar,"<p>Dominar 400 is look like a big animal. So fast and perfect for race sports. Service and maintenance are important to all bikes. So servicing and maintenance take time to time then your bike will give you full life time. Friends don't use other engine oil please. Always use one oil.  I care my bike, it's dominar.</p>",5,pos,bikewale,25-04-2018
Worth for its value,<p>Worth for it's price </p><p>Affordable for both cruising and normal use</p><p>Stunning led head lamp and tail lamp</p><p>Best in segment for this price</p><p>Good handling</p><p>Better safety features for this price.                    </p><p>It is the first Indian bike which gives us more in safety features and performance as dual channel abs and slipper clutch as well.</p>,4,pos,bikewale,25-04-2018
Best in cruiser,<p>I have bought this bike 6 months ago. </p><p>Riding dominar is like out of this world. Best styling latest technology. The things i love about dominar is its performance you will never feel out of the power at any condition any road it will always supports you on every riding condition. The 2nd thing is super bright led. It is best in class bike.  It gives bike aggressive look at night. </p><p>Slipper clutch best and first in it's class it gives you ultimate bike experience. </p><p>Cons </p><p>The front suspension is little stiff. </p><p>Fuel tank capacity is less</p>,5,pos,bikewale,25-04-2018
Commuter cum cruiser cum naked sports ,"<p>Best cruiser bike with latest features in 300+ cc segment ,ride position is best for long ride as well as for daily  commute. Smooth gear shifting and quick throttle response ,thanks to slipper clutch. -pros 1.Value for money -pros 2.Abs -pros 3. Slipper clutch- pros 4.Made in India cons:  Average look</p>",4,pos,bikewale,25-04-2018
