,review,aspect_terms,sentiment_score,sentiment_category
2519,with  our  B2B  clients.,clients,0.0,neutral
2520,"That  reduces  the  cost  of  going  to  the ""client s"",  office",cost client office,0.0,neutral
2521,more  productive  sales  force.,force,0.0,neutral
2522,Cisco Webex as a web meeting but not as Microsoft Teams.,meeting teams,0.0,neutral
2523,to  participate  in  meetings  with  other  employees  and,meetings employees,0.0,neutral
2524,external  collaborators,collaborators,0.0,neutral
2525,"that  are  meant  to  be  done  internally,  and",,-0.156,negative
2526,now  there  is  an  urgent  need,need,0.0,neutral
2527,to  do  the  same  with  teleworking.,teleworking,0.0,neutral
2528,Because  of  the  Covid-19,covid-19,0.0,neutral
2529,"need  for  video  conference,  online",conference,0.0,neutral
2530,meetings  and  webinars.,meetings webinars,0.0,neutral
2531,Safe Video Conferencing with Cisco Webex.,conferencing,0.5,positive
2532,"but  users ""couldn t"",  use  this  tool",users tool,0.0,neutral
2533,did  not  have  the  culture  of  using  video  conferencing.,culture conferencing,0.0,neutral
2534,"With  the  events  of  Covid-19,  users  realized  that",events users,0.0,neutral
2535,they  can  discuss  quickly,,0.333,positive
2536,and  started  using  Webex.,,0.0,neutral
2537,"Currently,  Webex  is  used  on  average  between  18-22",,-0.075,negative
2538,and  is  gradually  increasing.,,0.0,neutral
2539,features  such  as  recording  and  webinar.,features recording webinar,0.0,neutral
2540,The  whole  organization  uses  it  to  help  discuss  problems  with  customers.,organization problems customers,0.2,positive
2541,It  provides  synchronous  capabilities  for  distance  learning,capabilities distance,0.0,neutral
2542,Cisco Webex Meetings Review.,,0.0,neutral
2543,the  whole  organization,organization,0.2,positive
2544,"We  use  it  for  meetings  and  remote  collaboration,  especially  sharing  content  in  meetings.",meetings collaboration content meetings,-0.05,negative
2545,My Cisco Webex Meetings Review.,,0.0,neutral
2546,training  with  clients,training clients,0.0,neutral
2547,The  connection  and  clarity  are  very  good.,connection clarity,0.7,positive
2548,also  used  across  all  departments.,departments,0.0,neutral
2549,Cisco Webex Meetings review.,,0.0,neutral
2550,as  the  default  web,web,0.0,neutral
2551,application  across  the  entire  organization.,application organization,0.0,neutral
2552,"It  is  primarily  used  for  meetings  with  2-25  users,  but",meetings users,0.4,positive
2553,will  do  some  occasional,,0.0,neutral
2554,training  or  collaboration,training collaboration,0.0,neutral
2555,with  larger  audiences.,audiences,0.214,positive
2556,for  simple  conference  calls  as  well,conference,0.0,neutral
2557,as  screen  share  collaboration/presentation  meetings,screen,0.0,neutral
2558,and  outside  of  our  organization.,organization,0.0,neutral
2559,It  solves  the  problem  of  communicating  with  others,problem others,-0.125,negative
2560,the  ability  to  work,ability work,0.0,neutral
2561,with  our  partners  outside,partners,0.0,neutral
2562,of  our  organization.,organization,0.0,neutral
2563,The Best Meeting Tool for Small Groups!.,tool groups,0.375,positive
2564,"At  Austin  Community  College,  we  typically  use  Webex  Meetings",college meetings,-0.167,negative
2565,for  various  meetings.,meetings,0.0,neutral
2566,We  use  it  to  have  virtual,virtual,0.0,neutral
2567,"appointments  with  students,  as  well  as",appointments students,0.0,neutral
2568,meetings  among  staff  and  faculty.,meetings staff faculty,0.0,neutral
2569,also  used  to  view  our  monthly  advising  forums  from  advisors,view forums advisors,0.0,neutral
2570,that  cannot  meet  at  the  specific  campus,campus,0.0,neutral
2571,Technology that overcomes barriers!.,technology barriers,0.0,neutral
2572,"conferencias,  exposiciones",,0.0,neutral
2573,comunicados  de  valor,valor,0.0,neutral
2574,es  una  herramienta  que,,0.0,neutral
2575,"we  often  use  Webex  for  conferences,",conferences,0.0,neutral
2576,"exhibits,  and  exams",exhibits exams,0.0,neutral
2577,as  a  means  of  sharing  information  between  different,information,-0.156,negative
2578,and  generating  valuable  communication  for  all  stakeholders!,communication stakeholders,0.0,neutral
2579,used  very  frequently,,0.1,positive
2580,as  it  allows  us  to  update,update,0.0,neutral
2581,and  share  information,information,0.0,neutral
2582,Solid product speed up you troubleshooting sessions..,product sessions,0.0,neutral
2583,is  used  by  senior  execs,execs,0.0,neutral
2584,for  troubleshooting  and  demos.,demos,0.0,neutral
2585,The  most  quarterly  meeting  also  has,meeting,0.0,neutral
2586,a  Webex  associated  with  them,,0.0,neutral
2587,where  we  go  over  numbers  for  the  quarter,numbers quarter,0.0,neutral
2588,They  are  often  recorded  and  archived,,0.0,neutral
2589,for  those  who  cannot  attend  live.,,0.136,positive
2590,A journey into a cognitive collaboration experience.,journey experience,0.0,neutral
2591,"At  Greif,  Cisco  Webex  Meetings  is  the  one-stop  solution",meetings solution,0.0,neutral
2592,"for  all  of  our  conferencing  needs,  used  for  sharing  presentations,",needs presentations,0.0,neutral
2593,well  as  the  integration  of  60+,integration +,0.0,neutral
2594,that  integrate  with  the  collaboration  room,room,0.0,neutral
2595,option  added  the  experience.,option experience,0.0,neutral
2596,"updates,  or  project",updates project,0.0,neutral
2597,",  they  all  get  done  in  one",,0.0,neutral
2598,experience  and  environment.,experience environment,0.0,neutral
2599,an  ambitious  upgrade  path,path,0.25,positive
2600,"where  we  replace,  upgrade,  and",,0.0,neutral
2601,"exciting  project,  opening  the  doors",project doors,0.15,positive
2602,the  upcoming  enhancements  Cisco,enhancements,0.0,neutral
2603,This  is  our  standard  meeting,meeting,0.0,neutral
2604,"for  customer  meetings,  demonstrations,  and  collaboration.",meetings demonstrations collaboration,0.0,neutral
2605,Webex - a solid solution for online meetings.,solution meetings,0.0,neutral
2606,We  use  Webex  both  for  meetings,meetings,0.0,neutral
2607,"""It s"",  easy  to  use  and  set  up,  and  has  a  great",,0.617,positive
2608,Cisco Webex Meetings Review.,,0.0,neutral
2609,when  we  implement  all,,0.0,neutral
2610,we  started  to  work,work,0.0,neutral
2611,to  communicate  between  many  parties,parties,0.5,positive
2612,from  different  locations,locations,0.0,neutral
2613,usually  used  by  top  management  traveling,management,0.125,positive
2614,communication  between,communication,0.0,neutral
2615,each  other Webex Meetings offers the best experience.,meetings experience,0.7,positive
2616,"throughout  my  organization,  optimizing  the  issue  of  needing  to  instantly",organization issue,0.0,neutral
2617,meet  with  customers.,customers,0.0,neutral
2618,Simple and high-quality communication tool.,tool,0.0,neutral
2619,Webex  Meetings  is  widely  used  within  our  organization.,meetings organization,-0.1,negative
2620,It  is  a  simple  platform,platform,0.0,neutral
2621,that  offers  a  great  experience,experience,0.8,positive
2622,As  a  marketing  department  we  use  it  most  of  the  time  to  remotely  interview,department interview,-0.1,negative
2623,who  are  applying  for  internships,internships,0.0,neutral
2624,Webex  Meetings  is  the  best  communication,meetings communication,0.7,positive
2625,means  to  facilitate  the  interviews.,interviews,-0.312,negative
2626,The  video  and  audio  are,video,0.0,neutral
2627,and  make  us  satisfied,,0.5,positive
2628,while  using  the  platform.,platform,0.0,neutral
2629,Let’s Meet with Cisco WebEx Meetings!.,meetings,0.0,neutral
2630,is  used  by  my  organization,organization,0.0,neutral
2631,through  the  carrier,carrier,0.0,neutral
2632,When  they  have  webinars,webinars,0.0,neutral
2633,"their  products,  this  is  one  of  the  platforms",products platforms,0.0,neutral
2634,It  allows  for  individuals,individuals,0.0,neutral
2635,to  be  able  to  have  access  to,access,0.5,positive
2636,"the  information  being  provided,",information,0.0,neutral
2637,a  very  easy  platform  to  use.,platform use,0.433,positive
2638,Good option but somewhat expensive.,option,0.1,positive
2639,throughout  the  organization,organization,0.0,neutral
2640,to  streamline  meetings  as  well  as  make  official,meetings,0.0,neutral
2641,An effective collaboration tool.,tool,0.6,positive
2642,across  the  entire  breadth,breadth,0.0,neutral
2643,"It  is  used  for  anything  from  small,",,-0.25,negative
2644,"2-3  person  meetings,  up  to  departmental  meetings",meetings meetings,0.0,neutral
2645,involving  dozens  of  team  members.,dozens members,0.0,neutral
2646,It  allows  us  to  have  a  single  place,place,-0.071,negative
2647,"to  meet  online,  across  multiple  sites,  using  both  video  and  audio.",sites video audio,0.0,neutral
2648,Cisco Webex Is The Best In Its Field Without Doubt.,field doubt,1.0,positive
2649,"As  Ford  Motor  Company,  along",company,0.0,neutral
2650,(Joint  Ventures  like  Ford,ventures,0.0,neutral
2651,"Otosan  and  Ford  Sollers),",sollers,0.0,neutral
2652,and  employees  are  Cisco,employees,0.0,neutral
2653,We  connect  it  via  Ford.webex.com,,0.0,neutral
2654,and  invite  all  our  associates,associates,0.0,neutral
2655,like  suppliers  and  dealers,suppliers dealers,0.0,neutral
2656,"Honestly  speaking,  it  is  the  primary  source  of  running",source,0.5,positive
2657,whether  in  premises  or  across  the  other  locations  involved.,premises locations,0.0,neutral
2658,"In  the  meantime,  thanks  to",meantime,0.0,neutral
2659,"(via  videocall,  audio,  mobile,  call  me",videocall,0.0,neutral
2660,and  so  on)  that  makes  the  life,life,0.0,neutral
2661,Webex Meetings - Easy to Use for Global Organizations.,meetings organizations,0.217,positive
2662,our  entire  organization,organization,0.0,neutral
2663,"meeting  our  clients,  in  the  absence  of  on-site  visits.",clients absence site,-0.013,negative
2664,since  our  team  is  scattered  globally.,team,0.0,neutral
2665,It  makes  it  easier,,0.433,positive
2666,"in  support  of  our ""clients "",  needs.",support clients,0.0,neutral
2667,Let's meet via Webex!.,,0.0,neutral
2668,currently  using  Webex  Meetings,meetings,0.0,neutral
2669,across  the  whole  organization.,organization,0.2,positive
2670,"On  the  whole,  Webex  gives  us",whole,0.2,positive
2671,for  all  of  our  users,users,0.0,neutral
2672,to  be  able  to  participate,,0.5,positive
2673,in  or  out  of  the  office.,office,0.0,neutral
2674,"Many  of  our  staff  are  mobile,  so",staff,0.5,positive
2675,Cisco Webex makes your life easy as an IT Engineer.,life engineer,0.433,positive
2676,themeswith  our  partners.,partners,0.0,neutral
2677,Traveling  in  Venezuela  is  difficult  at  this  time,,-0.5,negative
2678,"The  interface  is  simply  wonderful,  3",interface,1.0,positive
2679,and  you  areall  done.,,0.0,neutral
2680,"For  us,  Webex  has  been  a  powerful  tool",tool,0.3,positive
2681,resolution  becauseengineers,becauseengineers,0.0,neutral
2682,can  get  into  our  platform,platform,0.0,neutral
2683,to  configure  things,things,0.0,neutral
2684,Cisco Rocks in Unified Communications.,communications,0.0,neutral
2685,have  been  using  Cisco,,0.0,neutral
2686,to  have  meetings  with  different  vendors,meetings vendors,0.0,neutral
2687,with  voice/video  &  content  sharing.,sharing,0.0,neutral
2688,Collaboration made easy with Cisco Webex (and Webex Board S55).,collaboration,0.433,positive
2689,"At  the  Municipality  of  Guayaquil  City,  we  use  Web",municipality city web,0.0,neutral
2690,"departments  (or  directions,",departments directions,0.0,neutral
2691,with  Cisco  Webex  Boards.,boards,0.0,neutral
2692,"As  we  are  a  local  Governmental  entity,  we",entity,0.0,neutral
2693,"to  establish  communication  and  collaborate  with  partners  and  providers,  and  even  to  provide  us  with  technical  support  within  the  organization.",communication partners providers support organization,0.0,neutral
2694,Webex Meetings passes the test!.,meetings test,0.0,neutral
2695,"videoconferencias,  reduciendo  costos",,0.0,neutral
2696,a  nuestros  colaboradores  .a,,0.0,neutral
2697,It  has  been  a  great,,0.8,positive
2698,(metaphorically)  shortened  distances  between  offices,distances offices,0.0,neutral
2699,"and  facilitated  video  conferences,  reducing  travel",video conferences travel,0.0,neutral
2700,costs  and  being  more  efficient,costs,0.0,neutral
2701,with  this  we  manage  to  work,work,0.0,neutral
2702,"with  our  various  offices,  and  provide  better",offices,0.0,neutral
2703,services  and  approaches  to  our  collaborators.,services collaborators,0.0,neutral
2704,It  has  been  a  huge  help.,help,0.4,positive
2705,is  being  used  in  our  company,company,0.0,neutral
2706,and  increase  productivity.,,0.0,neutral
2707,to  travel  to  customer,travel customer,0.0,neutral
2708,and  we  are  able  to,,0.5,positive
2709,give  a  great  customer  experience,experience,0.8,positive
2710,for  aspects  of  support.,aspects support,0.0,neutral
2711,Internally  we  use  it  for  face  to  face  meetings  over  Video,face meetings video,0.0,neutral
2712,"with  an  ""any  device",device,0.0,neutral
2713,which  helps  meeting,,0.0,neutral
2714,and  get  through  the  subject,subject,-0.167,negative
2715,Nice to work with agile methodologies..,methodologies,0.55,positive
2716,We  used  to  use  it,use,0.0,neutral
2717,for  daily  standup  meetings,meetings,0.0,neutral
2718,using  the  Scrum  methodology.,methodology,0.0,neutral
2719,Webex Meetings is the best way to organize and manage your meetings.,meetings way meetings,0.7,positive
2720,our  entire  organization.,organization,0.0,neutral
2721,"can  easily  say  that ""it s"",  almost  a  default  tool",tool,0.433,positive
2722,for  our  daily  communication.,communication,0.0,neutral
2723,We  use  it  to  communicate  not  only,,0.0,neutral
2724,with  our  colleagues,colleagues,0.0,neutral
2725,from  different  regions,regions,0.0,neutral
2726,within  the  company;,company,0.0,neutral
2727,but  also  with  suppliers  or  service  providers,suppliers providers,0.0,neutral
2728,from  outside  the  company.,company,0.0,neutral
2729,We  use  it  to  schedule,schedule,0.0,neutral
2730,and  share  information,information,0.0,neutral
2731,"during  the  meetings,  and",meetings,0.0,neutral
2732,to  broadcast  information  or  to  review  status.,information status,0.0,neutral
2733,"As  a  summary,  it  is  one  of",summary,0.0,neutral
2734,the  most  useful  tools,tools,0.3,positive
2735,that  have  been  used,,0.0,neutral
2736,within  our  organization.,organization,0.0,neutral
2737,Cisco Webex Meetings Review.,,0.0,neutral
2738,to  hold  presentations,presentations,0.0,neutral
2739,with  our  clients  and  partners.,clients partners,0.0,neutral
2740,"We  also  use  it  for  webinars,  and  we  have",webinars,0.0,neutral
2741,never  had  a  problem,problem,0.0,neutral
2742,Webex  Meetings  is  our  collaboration  tool,meetings tool,0.0,neutral
2743,for  all  of  our  sites.,sites,0.0,neutral
2744,"In  the  future,  we  will  change  it  to  Cisco",future,0.0,neutral
2745,Webex Meetings is awesome.,meetings,1.0,positive
2746,"We  deployed  Webex  across  the  whole  organisation,",organisation,0.2,positive
2747,that  everyone  can  create,,0.0,neutral
2748,"This  addresses  less  traveling,",,-0.167,negative
2749,costs  by  joining  high-quality,costs,0.0,neutral
2750,and  ad  hoc  cooperation,cooperation,0.0,neutral
2751,Being  able  to  create  meetings,meetings,0.5,positive
2752,the  mail  system  is  really  easy  and  timesaving.,system,0.433,positive
2753,Start and join meetings quickly and easily.,meetings,0.433,positive
2754,It  is  being  used  across  the  whole  organization.,organization,0.2,positive
2755,It  allows  us  to  start,,0.0,neutral
2756,and  join  meetings  quickly  and  easily.,meetings,0.433,positive
2757,"start,  and  join  meetings  from  your  desktop  or",meetings desktop,0.0,neutral
2758,directly  from  Microsoft  Outlook.,outlook,0.1,positive
2759,"with  crisp,  clear  video",video,0.175,positive
2760,and  audio  conferencing.,conferencing,0.0,neutral
2761,"can  share  your  screen,",screen,0.0,neutral
2762,"present  information,  and  annotate",information,0.0,neutral
2763,shared  documents  or  whiteboards.,documents whiteboards,0.0,neutral
2764,Cisco Webex Meetings Review.,,0.0,neutral
2765,"As  a  national  company,  we  use  this  product",company product,0.0,neutral
2766,with  all  our  different  locations.,locations,0.0,neutral
2767,WebEx for Day to Day Office Video Needs.,day,0.0,neutral
2768,We  currently  use  this  product  to  meet  one-on-one,product,0.0,neutral
2769,that  are  distance  learners.,learners,0.0,neutral
2770,"for  a  variety  of  reasons,  but  for  one-on-one  purposes",variety reasons purposes,0.0,neutral
2771,We  have  to  find  ways,ways,0.0,neutral
2772,to  connect  with  distance  learners,distance learners,0.0,neutral
2773,requirements  when  needed.,requirements,0.0,neutral
2774,that  goal  by  providing  the  platform,platform,0.0,neutral
2775,to  see  students  face  to  face  virtually.,students face,0.0,neutral
2776,Teleconferencing in a Click.,teleconferencing click,0.0,neutral
2777,Webex  Meetings  is  utilized  within  the  organization,meetings organization,0.0,neutral
2778,to  organize  meetings  internally  as  well  as  with  customers  and  support.,meetings customers support,0.0,neutral
2779,"It  allows  for  easy  conferencing,  facilitating  great",conferencing,0.617,positive
2780,communication  between  members  of  the  team.,communication members team,0.0,neutral
2781,"Additionally,  the  ability  to  create  a  room",ability room,0.0,neutral
2782,remote  screen  is  very  critical,screen,-0.05,negative
2783,to  helping  our  engineers  debug  customer  issues.,engineers issues,0.0,neutral
2784,Webex Meetings: A Pleasant and Positive Alternative for Meetings!.,meetings alternative meetings,0.48,positive
2785,managers  when  meeting  with  other  employees,managers employees,0.0,neutral
2786,as  an  alternative  to  Skype,alternative,0.0,neutral
2787,Business  and  Adobe  Connect.,business,0.0,neutral
2788,The  platform  is  more  user-friendly,platform,0.0,neutral
2789,"a  positive  interaction,",interaction,0.227,positive
2790,in  my  opinion  with  other  colleagues.,opinion colleagues,0.0,neutral
2791,"To  my  knowledge,  not  everyone  uses  Webex  Meetings,  only  some.",knowledge meetings,0.0,neutral
2792,Virtual meetings from any device and at any time with a single click.,meetings device time click,-0.071,negative
2793,"users  of  the  company,  from  Human  Resources  and  administration",users company resources administration,0.0,neutral
2794,technical  and  commercial  area.,area,0.0,neutral
2795,"Since  we  all  have  meetings  with  suppliers,  colleagues,  and  clients",meetings suppliers,0.0,neutral
2796,"or  even  to  do  distance  interviews,",distance interviews,0.0,neutral
2797,",  there  are  multiple",,0.0,neutral
2798,solving  with  this  tool.,tool,0.0,neutral
2799,our  virtual  meeting  platform.,platform,0.0,neutral
2800,It  is  easy  to  use,,0.433,positive
2801,"can  record  meetings  for  those  that ""can t"",  attend,  or  even  conduct  meetings",meetings meetings,0.0,neutral
2802,through  my  phone  or  tablet.,phone tablet,0.0,neutral
2803,when  sharing  content  and  information.,content information,0.0,neutral
2804,"just  turn  off,  but ""it s"",  not  that  bad.",,0.35,positive
2805,We  used  Webex  to  connect  the  department,department,0.0,neutral
2806,for  regular  meetings.,meetings,0.0,neutral
2807,attending  the  meetings,meetings,0.0,neutral
2808,"either  at  home,  across  the  city,  or  in  other  countries.",home city countries,0.0,neutral
2809,We  used  it  not  only  to  share,share,0.0,neutral
2810,"the  voice  call,  but  to  also",voice call,0.0,neutral
2811,allow  the  offsite  folks  to  join  virtually.,folks,0.0,neutral
2812,This  makes  the  meeting,,0.0,neutral
2813,because  you  get  to  interact  with  the  team,team,0.0,neutral
2814,and  not  just  listen  to  them.,,0.0,neutral
2815,Excellent tool for virtual meeting with high quality video and voice.,tool meeting video voice,0.58,positive
2816,We  use  Webex  as  one  of  our  main  channels  for  communication.,channels communication,0.167,positive
2817,It  is  especially  helpful,,0.0,neutral
2818,our  team  has  some  members  who  work  remotely.,team members,-0.1,negative
2819,"Almost  all  of  our  meetings  are  conducted  with  Webex,  even  when  we  have",meetings,0.0,neutral
2820,"meetings,  we  also  configure  Webex",,0.0,neutral
2821,can  attend  via  Webex.,,0.0,neutral
2822,a  quick  direct  discussion  between  team,discussion team,0.217,positive
2823,It  saves  a  lot  of  effort,lot effort,0.0,neutral
2824,and  helps  to  speed  up  our  progress.,speed progress,0.0,neutral
2825,Webex  is  very  flexible,,0.0,neutral
2826,in  organizing  meetings.,meetings,0.0,neutral
2827,for  a  quick  discussion.,discussion,0.333,positive
2828,"all  kind  of  devices,  Windows,  Mac,  Android,  IOS...",kind devices,0.6,positive
2829,not  require  any  software  installation.,software installation,0.0,neutral
2830,Cisco Webex - Communicate easily!!.,,0.433,positive
2831,when  we  have  calls,calls,0.0,neutral
2832,"such  as  Cisco,  AT&T,  Verizon,",,0.0,neutral
2833,will  last  1  hour  approximately,,-0.2,negative
2834,usually  shares  their  screen.,shares screen,-0.25,negative
2835,being  used  in  our  organization,organization,0.0,neutral
2836,and  by  several  customers,customers,0.0,neutral
2837,helping  us  to  create  unique,,0.375,positive
2838,meeting  experiences.,experiences,0.0,neutral
2839,help  desk  departments.,departments,0.0,neutral
2840,It  is  an  important  tool,tool,0.4,positive
2841,but  also  for  support,support,0.0,neutral
2842,and  collaboration  with  business,collaboration business,0.0,neutral
2843,HR  uses  Webex  for  training  and  interviewing  purposes.,hr training purposes,0.0,neutral
2844,Webex Meetings a Powerful Ally.,meetings ally,0.3,positive
2845,"is  used  throughout  the  organization,  from",organization,0.0,neutral
2846,"to  the  marketing  team,",team,0.0,neutral
2847,"the  possibility  of  meeting  with  coworkers,  clients,",possibility meeting coworkers,0.0,neutral
2848,"in  any  place,  space,",place space,0.0,neutral
2849,and  practically  from  any  device.,device,0.0,neutral
2850,It  eliminates  physical  barriers  by  allowing  us  to  have  our  virtual  office,barriers office,0.0,neutral
2851,and  be  able  to  attend,,0.5,positive
2852,"""It s"",  being  used  across",,0.0,neutral
2853,the  whole  organization,organization,0.2,positive
2854,to  connect  to  our  users  throughout  the  world.,users world,0.0,neutral
2855,Why we use webex with remote teams.,teams,-0.1,negative
2856,as  a  way  of  communication  between  guys,way communication guys,0.0,neutral
2857,on  the  Dev  Ops  team  from  Russia  and  Colombia.,team,0.0,neutral
2858,Palace Resorts and Cisco Webex.,resorts,0.0,neutral
2859,"""It s"",  being  used  across",,0.0,neutral
2860,with  virtual  rooms  and  Cisco  Spark.,rooms spark,0.0,neutral
2861,"Cisco Webex is a great tool, but could be easier to use and is expensive.",tool,0.15,positive
2862,The  problem  is  that  it  is  not,problem,0.0,neutral
2863,"so  user-friendly,  and",,0.0,neutral
2864,"the  price  is  not  competitive,  at  least  against  Zoom.",price zoom,-0.3,negative
2865,Webex  is  a  very  interesting  tool,tool,0.5,positive
2866,we  use  at  my  organization.,organization,0.0,neutral
2867,We  use  it  for  everything,,0.0,neutral
2868,to  do  with  virtual  meetings,meetings,0.0,neutral
2869,with  a  focus  on  remote  education,focus education,-0.1,negative
2870,for  employees.-------Es  una  herramienta,,0.0,neutral
2871,"organizacion,  todo  lo  que",,0.0,neutral
2872,a  distancia  a  los  colaboradores,,0.0,neutral
2873,Great experience using Cisco Webex Meetings for collaboration!.,experience meetings collaboration,0.8,positive
2874,We  use  it  to  communicate  with  remote  employees,employees,-0.1,negative
2875,meetings  across  our  different  offices.,meetings offices,0.0,neutral
2876,"A new, super great method of communicating!.",method,0.423,positive
2877,We  use  them  for  weekly  meetings  with  people  outside  the  office.,meetings people office,0.0,neutral
2878,"""It s"",  also  easier  to  connect  with  our  supervisors,  who",supervisors,0.433,positive
2879,may  be  travelling  by  using  Webex  Meetings.,meetings,0.0,neutral
2880,"Outside  of  our  weekly  meetings,  we  use  it  pretty  often  for  casual  communication.",meetings communication,-0.083,negative
2881,Webex Meetings is great--but that audio!.,meetings audio,0.0,neutral
2882,"[It s"",  being  used]",,0.0,neutral
2883,throughout  the  company,company,0.0,neutral
2884,and  for  when  we  host  conferences.,conferences,0.0,neutral
2885,are  used  for  most  of,,0.0,neutral
2886,"and ""I m"",  a  regular  user  of",user,0.0,neutral
2887,"the  entire  parent  company,  Verizon.",parent company,0.0,neutral
2888,It  offers  a  quick  connection,connection,0.333,positive
2889,either  through  video  or  audio,video audio,0.0,neutral
2890,both  desktop  and  mobile.,desktop mobile,0.0,neutral
2891,"""It s"",  easy  to  use  for  more  than  25",,0.433,positive
2892,the  ability  to  mute,ability,0.0,neutral
2893,everyone  when  required.,,0.0,neutral
2894,Good for Most Conferencing.,conferencing,0.7,positive
2895,We  currently  use  it  for  collaboration  among  teams  as  well  as  for  online  learning/lectures.,collaboration teams lectures,0.0,neutral
2896,While  it  is  not  required  that  Webex  be  used  for,,0.0,neutral
2897,teaching  those  courses.,courses,0.0,neutral
2898,"As  for  the  team  collaboration,  we  have  some  pockets  of  departments",collaboration pockets departments,0.0,neutral
2899,"all  the  time,  while  others  still  prefer  in-person  meetings.",others person,-0.125,negative
2900,but they need to do a couple of enchancements.,couple enchancements,0.0,neutral
2901,the  company  uses  Cisco,company,0.0,neutral
2902,We  used  it  to  have  meetings,meetings,0.0,neutral
2903,and  across  the  globe.,globe,0.0,neutral
2904,We  use  it  for  both  internal  meetings,meetings,0.0,neutral
2905,well  as  meetings  with  customers.,meetings customers,0.0,neutral
2906,Quick and Easy Conferencing.,conferencing,0.383,positive
2907,is  used  across  our  entire  institution,institution,0.0,neutral
2908,to  provide  access  to  virtual,access,0.0,neutral
2909,meetings  and  web  conferences.,meetings web,0.0,neutral
2910,meetings  with  others  inside  our  organization,meetings others organization,-0.125,negative
2911,and  also  outside  of  our  organization.,organization,0.0,neutral
2912,can  be  accessed  by  users,users,0.0,neutral
2913,on  their  desktop  PCs  or,desktop pcs,0.0,neutral
2914,"Macs,  mobile  devices,  or  our  campus",macs devices campus,0.0,neutral
2915,conferencing  systems.,systems,0.0,neutral
2916,"Not intuitive for all attendees, but with some simplification it has potential.",attendees simplification,0.0,neutral
2917,Webex  is  mostly  used  for  screen-sharing,sharing,0.5,positive
2918,during  a  traditional  conference  call.,conference,0.0,neutral
2919,is  by  providing  the  ability  to  share,ability share,0.0,neutral
2920,"with  another  party,",party,0.0,neutral
2921,such  as  walking  someone  through  a  presentation.,presentation,0.0,neutral
2922,either  dictated  by  my  users  or  by  the  client.,users client,0.0,neutral
2923,host  accounts  for  users,host users,0.0,neutral
2924,who  need  to  schedule,schedule,0.0,neutral
2925,"their  own  meetings,  but",meetings,0.0,neutral
2926,most  of  the  organization  has  attended  a  Webex,organization webex,0.0,neutral
2927,"for  any  specific  department  or  task,  but ""it s"",  mostly",department task,0.25,positive
2928,with  the  most  frequent  needs  of  screen,needs screen,0.1,positive
2929,sharing/video  conferencing.,conferencing,0.0,neutral
2930,This  is  the  primary  method,method,0.4,positive
2931,we  use  for  doing  online  meetings.,meetings,0.0,neutral
2932,when  it  comes  to  video  conferencing.,conferencing,0.0,neutral
2933,often  uses  it  for  many,,0.5,positive
2934,with  members  of  the  team,members team,0.0,neutral
2935,that  are  in  different  places.,places,0.0,neutral
2936,well  for  our  needs.,needs,0.0,neutral
2937,Not a problem to host a presentation for the whole company.,problem presentation company,0.2,positive
2938,If  you  need  a  great  meeting,meeting,0.8,positive
2939,your  meetings  from  real-life,meetings life,0.0,neutral
2940,"to  online,  Webex  can  deliver.",,0.0,neutral
2941,"has  been  promising  and  delivering  quality  for  years,",quality years,0.0,neutral
2942,constantly  updating  the  software,software,0.0,neutral
2943,to  get  better  over,,0.0,neutral
2944,"Nowadays,  the  mobile  version  has  been  a  big  improvement",version improvement,0.0,neutral
2945,and  more  of  our  users  tend  to  use  mobile  devices  like,users devices,0.0,neutral
2946,tablets  and  mobile  phones.,tablets phones,0.0,neutral
2947,Great meeting platform!,platform,0.8,positive
2948,Really easy to use and specially useful for companies with remote teams,companies teams,0.211,positive
2949,Webex  Meetings  is  our  primary  virtual,meetings,0.4,positive
2950,across  the  company.,company,0.0,neutral
2951,All  employees  have  access  to  both,employees access,0.0,neutral
2952,well  as  the  Webex  Teams.,teams,0.0,neutral
2953,As  the  majority  of,majority,0.0,neutral
2954,",  Webex  helps  us  to  stay  connected  to  our  team.",team,0.0,neutral
2955,In  just  a  few  clicks,clicks,0.0,neutral
2956,we  can  organize  meetings  with  the  whole  team.,meetings team,0.2,positive
2957,Amazing collaboration with Webex.,collaboration,0.6,positive
2958,"Webex  is  being  used  across  my  organisation,  to  support",organisation support,0.0,neutral
2959,the  effective  communication  and  collaboration  between  team,communication collaboration team,0.6,positive
2960,members  based  remotely  across  different  countries.,members countries,-0.3,negative
2961,"in  the  place  of  physical  meetings,  utilising  the  video",place meetings video,0.0,neutral
2962,to  make  colleagues  feel  as,colleagues,0.0,neutral
2963,they  are  in  the  same  room  together.,room,0.0,neutral
2964,"Likewise,  collaborative  functions",functions,0.0,neutral
2965,"such  as  enabling  meeting  recordings,  sharing  screens  for  mutual  viewing",recordings screens,0.0,neutral
2966,and  the  ability  to  work  on  one,ability work,0.0,neutral
2967,document  between  multiple,document,0.0,neutral
2968,attendees  makes  project,attendees project,0.0,neutral
2969,management  and  monitoring  straightforward,management,0.375,positive
2970,Difficult to use and unreliable.,,-0.5,negative
2971,It  was  used  across,,0.0,neutral
2972,the  whole  organization,organization,0.2,positive
2973,at  my  last  company,company,0.0,neutral
2974,for  online  meetings.,meetings,0.0,neutral
2975,We  used  the  basic  Webex  Meetings,meetings,0.0,neutral
